313593,1_home_page,2/26/2015
468315,1_home_page,2/21/2015
264005,1_home_page,3/25/2015
290784,1_home_page,3/14/2015
639104,1_home_page,1/3/2015
262889,1_home_page,1/10/2015
708793,1_home_page,4/24/2015
943143,1_home_page,4/10/2015
417894,1_home_page,4/2/2015
729374,1_home_page,4/12/2015
188061,1_home_page,3/28/2015
899940,1_home_page,1/10/2015
351103,1_home_page,4/30/2015
361882,1_home_page,3/4/2015
899516,1_home_page,4/20/2015
99215,1_home_page,2/4/2015
594691,1_home_page,3/31/2015
432943,1_home_page,1/22/2015
364893,1_home_page,4/27/2015
654707,1_home_page,1/23/2015
272192,1_home_page,2/3/2015
396024,1_home_page,3/24/2015
369723,1_home_page,2/24/2015
438763,1_home_page,1/7/2015
223223,1_home_page,2/23/2015
140078,1_home_page,4/27/2015
96742,1_home_page,4/5/2015
74432,1_home_page,2/17/2015
819741,1_home_page,4/14/2015
664153,1_home_page,3/2/2015
353199,1_home_page,4/28/2015
803413,1_home_page,3/31/2015
299241,1_home_page,4/14/2015
414083,1_home_page,1/22/2015
68581,1_home_page,1/24/2015
643983,1_home_page,4/27/2015
615303,1_home_page,2/10/2015
895952,1_home_page,3/29/2015
383884,1_home_page,2/5/2015
355842,1_home_page,1/27/2015
365579,1_home_page,4/12/2015
208754,1_home_page,1/12/2015
508281,1_home_page,4/11/2015
329346,1_home_page,2/21/2015
580506,1_home_page,1/12/2015
820301,1_home_page,2/7/2015
80844,1_home_page,4/2/2015
190867,1_home_page,1/16/2015
564948,1_home_page,4/7/2015
226243,1_home_page,2/6/2015
404071,1_home_page,4/28/2015
366921,1_home_page,4/30/2015
477314,1_home_page,4/9/2015
345346,1_home_page,2/19/2015
514680,1_home_page,1/29/2015
173171,1_home_page,3/2/2015
206165,1_home_page,4/14/2015
107159,1_home_page,3/7/2015
552933,1_home_page,1/6/2015
337677,1_home_page,1/23/2015
107581,1_home_page,4/6/2015
586375,1_home_page,2/24/2015
182469,1_home_page,1/17/2015
596679,1_home_page,4/10/2015
423571,1_home_page,1/19/2015
454861,1_home_page,2/15/2015
697377,1_home_page,2/11/2015
417880,1_home_page,3/5/2015
638007,1_home_page,3/15/2015
593802,1_home_page,1/18/2015
888302,1_home_page,2/22/2015
879674,1_home_page,4/7/2015
327144,1_home_page,2/9/2015
274834,1_home_page,4/23/2015
545840,1_home_page,3/17/2015
842332,1_home_page,4/14/2015
406652,1_home_page,3/10/2015
117204,1_home_page,2/8/2015
461561,1_home_page,2/24/2015
318329,1_home_page,2/14/2015
433567,1_home_page,2/20/2015
393376,1_home_page,3/3/2015
161474,1_home_page,4/10/2015
29581,1_home_page,1/26/2015
667530,1_home_page,2/2/2015
632098,1_home_page,2/3/2015
835812,1_home_page,1/22/2015
841940,1_home_page,4/7/2015
